Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,,,1082577,703388,1269221,3656987,1702027,2236432,1265878,1255851,2004844,2562890,1655574,1788242,1171746,1735162,1665839
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,
Afghanistan,AFG,,,,,,,,,,,,0,0,,,,
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,102003479,101168422,90114520,62390526,79264147,46120730,43596708,77204455,
Albania,ALB,,,10128936,14074208,11890517,10014580,10843586,1960836,16607486,10199913,1118611,591718,1753201,3810240,6384226,886411,
Andorra,AND,33447890,17938621,10402351,19545650,18990190,19714197,21595662,18015813,18000092,21707609,24238350,33883932,37391323,36290169,36063879,49533520,51383658
Arab World,ARB,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,,211099091,,,,493096229,401391775,1465986043,903670848,484214896,523668921,643634927,670459816,1202292537,2904973069,3214235330,3183641981
Argentina,ARG,1202089048,2014827039,1607442803,1686224603,1926430908,1654528881,1791037027,1509996216,1475181467,1333427025,1487363816,647172446,561915855,546445789,466425814,663679613,689722037
Armenia,ARM,5195605,7247588,5130103,4727643,7448895,7581096,9332592,9307631,11860132,21845447,28282166,36529310,45573711,26514439,37562644,497178920,822532500
American Samoa,ASM,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,0,0,0,162,3183,11437,0,0,0,0,0
Australia,AUS,3859052880,4470937082,3841837829,4556153586,5601419629,5468098058,5342736393,5459155781,5091394845,5379738452,4902492267,5241784852,6336480016,5590752219,6310404299,7827261971,7767880136
Austria,AUT,16729535708,17673554679,14165206601,15801989058,17846798301,18475532604,20793050424,21648234621,18084614342,17333979956,17025647706,16680037036,15967500783,15995936181,17019360151,23542335794,27308757068
Azerbaijan,AZE,16910471,7426765,4537422,7200494,10332315,45373920,73389339,33923114,13928754,11727294,14069403,21177987,27996627,33914977,22212874,49582911,56810637
Burundi,BDI,,,,,,,52352,392605,762345,600998,224837,1919722,44806,22492,52895,279944,
Belgium,BEL,28348121217,31672630338,32169554713,18062114104,19710705572,18578043351,23020452724,26767838222,22552909326,27175805685,25235406983,28165595899,33085086466,34318944448,60841701079,68608511632,50647716012
Benin,BEN,,,,,,,569796,3987990,1171209,577999,3522293,1403781,700714,1410633,1211677,1478628,1700350
Burkina Faso,BFA,,,18492513,11301002,8259133,10978416,14208169,13835438,5765833,6875574,5350847,6498091,34843264,4097239,3595403,2782855,8323768
Bangladesh,BGD,,62063721,44173505,37560962,44006131,105405034,68647591,,93607706,,,,,,,,
Bulgaria,BGR,648369137,803738388,754771930,852976590,1062699686,1021476044,1175494257,1156706424,1188402574,1368015151,1682865600,2012291354,2099870351,2155498073,2629729427,2722362666,3178034114
Bahrain,BHR,,,310482,964226,1619723,7237726,18922393,47086511,22835701,21521243,14797112,11790580,171040707,334578591,18783670,18993642,11523340
"Bahamas, The",BHS,,,76,3454,0,0,0,0,0,5691434,23398744,6223847,4273785,5698918,354749,0,7099
Bosnia and Herzegovina,BIH,,139640670,83124313,74424232,106561255,80755223,82099573,93751572,98638473,96206577,236663996,261343236,253429110,212050903,323354391,346093120,335043704
Belarus,BLR,,417729396,319783299,408291304,515422700,636491396,796837310,694196900,578013704,626372393,721137103,757854091,800555399,857164498,922201805,,
Belize,BLZ,,,,0,409,0,0,0,0,0,10,6270,0,64217,14461,17,0
Bermuda,BMU,,,,,,830077,2667623,2564052,1028795,1280911,1136950,2939782,1569639,869524,1878816,1251163,
Bolivia,BOL,15432769,17442189,14823026,37069953,48204674,52913603,44104414,33146951,24935819,15511283,19397571,19560045,14175220,13485139,22371253,35257941,27251877
Brazil,BRA,9550426879,10797889271,8461145153,8821852402,9144676228,9470914631,9066336666,8794690902,9433128684,10375539028,10715201949,11063190965,9392109980,5944951723,6350128610,7707210423,8060841826
Barbados,BRB,,,,,,,,,,,,,29763464,25313814,19196509,18830529,16529186
Brunei Darussalam,BRN,,,45458745,108137888,112054867,70721764,56850707,61147373,79880356,75587694,159194395,115050,47341781,15965130,30923034,28422821,25220521
Bhutan,BTN,1941520,9525,439945,394616,272,58575,,,,,,,,,,,
Botswana,BWA,,,,,,,26827409,19204185,37935089,29033590,53818634,39468568,18663246,16838415,23428722,38953785,25600565
Central African Republic,CAF,,,,632110,1394,134458,10012,,4091308,6613251,35462286,8173212,88772322,106849,878109,16373796,221989
Canada,CAN,30533466009,30132655640,25646491962,26567981070,27501347864,33113402476,32182263706,28787810893,28242770992,26203266317,26938349605,30480481649,31537324909,25573870176,29240972618,31224620822,35226982857
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,
Switzerland,CHE,36177850584,43496431152,40398414991,43609994818,51150138128,51281753023,54348472738,57103943094,53797217928,55537838910,29834784801,30116125011,29874364250,29246591977,38186912946,81075544288,84443768583
Channel Islands,CHI,,,,,,,,,,,,,,,,,
Chile,CHL,650978627,656558020,475672103,541804285,554621392,578366368,696431125,731680359,580229395,720871030,634869020,667789266,672148298,1368060499,1264185464,1400540500,1841775193
China,CHN,3.44E+11,3.92E+11,3.60E+11,4.75E+11,5.40E+11,5.94E+11,6.56E+11,6.54E+11,6.52E+11,5.95E+11,6.54E+11,7.31E+11,7.15E+11,7.57E+11,9.36E+11,9.24E+11,8.25E+11
Cote d'Ivoire,CIV,,186084319,197108462,70492080,176346416,96850645,165475569,241143808,187852042,126579773,137431681,78786305,141805000,56250897,56851004,58387740,110019023
Cameroon,CMR,,,,,,,13496358,27500532,14038025,11759707,15101442,16426545,12928297,6620517,5718462,,
"Congo, Dem. Rep.",COD,,,,,,,,,63192320,5559878,9340030,26163468,32092118,17461774,4658514,17597529,
"Congo, Rep.",COG,,,,,,,,49507331,53856827,71754303,82791344,40604431,29719757,37906534,38829158,27110079,
Colombia,COL,360296277,475948292,492118043,451119242,433809511,565873207,773381766,762816334,823794429,766933461,692527611,603548552,753154204,689647169,735066988,885893553,873209016
Comoros,COM,,,,,,,,194928,135535,19666,2087641,28546,831114,38577,28418,,
Cabo Verde,CPV,,,0,0,62511,0,,331,,,,12,155282,62460,134350,155610,73876
Costa Rica,CRI,2537251595,2435411709,1794967100,2203396726,2521516046,2732053792,3074134472,2418534772,869824563,951904772,1106655213,1148832582,1154574074,1038666681,1457228331,2066890450,2809087758
Caribbean small states,CSS,,,,,,,,,,,,,,,,,
Cuba,CUB,,,,,,,,,,257965573,38992284,15927235,,,,,
Curacao,CUW,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,10398277,7773206,,
Cyprus,CYP,96699999,123587752,109541362,143937805,112875071,55513249,56419712,68206259,55429941,56148834,54653535,95281472,92911879,62939856,88015705,93960972,107331661
Czechia,CZE,16672750044,20149160155,17073608123,20408146674,26864951093,25452863333,24683560894,26896989563,24765844904,24696483302,29455304775,36029727754,37662935376,39608918726,41423396626,46554526977,46329135586
Germany,DEU,1.70E+11,1.83E+11,1.59E+11,1.80E+11,2.02E+11,2.03E+11,2.09E+11,2.16E+11,1.99E+11,2.05E+11,1.96E+11,2.10E+11,2.08E+11,1.82E+11,2.12E+11,2.44E+11,2.56E+11
Djibouti,DJI,,,1331100,,,,,,,,,,,,52191021,75036421,88653670
Dominica,DMA,,,0,154223,,1949279,2279542,,,419801,318695,301159,1201516,145604,291177,3200283,367176
Denmark,DNK,12073064150,12417941733,11258588931,9012037384,10408230833,9742007079,10196237936,10640792837,10082748969,10051342801,8888105150,9553980118,9580042594,10456156892,12558476118,14666763778,16067378321
Dominican Republic,DOM,759722912,343578651,181137320,75810618,97374126,145436379,197793260,223058546,207375708,228458931,479793890,388076815,399435146,487003237,565390971,406158882,454061980
Algeria,DZA,6815093,8596814,4615916,5377821,3565017,2215525,3260377,4033112,2549728,4844795,9028313,,,,,,
East Asia & Pacific (excluding high income),EAP,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,,,,,,,,,,,,,,,,,
Ecuador,ECU,,80058801,53152326,146115718,59881532,55266062,78368915,81594902,103054631,111067371,93241535,68768816,67994135,52973250,77485367,124665033,106992254
"Egypt, Arab Rep.",EGY,,102650631,86522520,104581856,133427058,78780667,72676207,168393198,89778932,56095790,73845752,124115195,323587661,347931933,645859214,766542713,697613295
Euro area,EMU,,,,,,,,,,,,,,,,,
Eritrea,ERI,,,,,,,,,,,,,,,,,
Spain,ESP,10520143620,11253501247,10376050434,11505353187,13556130443,13769965368,14480413179,14666986404,13111339617,15601713039,14946962289,15484719194,15037416553,15726202393,23457225215,33298624237,25806027599
Estonia,EST,838058280,915174912,615941848,1253045395,2547547680,2356406386,2546333378,2709032485,2053390810,2107825808,1846642347,1911072435,1737778171,2169488523,2681060611,2331439433,2085454295
Ethiopia,ETH,,8353857,6989321,9180690,5740332,8250875,5597838,24230914,15626489,10506299,7937400,9903649,44073888,43204864,24782074,9017811,9855262
European Union,EUU,2.78E+11,3.01E+11,2.66E+11,2.91E+11,3.36E+11,3.43E+11,3.55E+11,3.55E+11,3.39E+11,3.45E+11,3.48E+11,3.69E+11,3.82E+11,3.29E+11,3.88E+11,4.69E+11,4.98E+11
